id,url,original_filename,output_path,status,error_message,timestamp
0,http://aslbricks.org/New/ASL-Videos/book.mp4,0.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/0.mp4,SUCCESS,,2025-05-07T09:37:59.178598
1,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,1.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/1.mp4,FAILED_DOWNLOAD,Download failed for https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,2025-05-07T09:38:00.069201
2,https://www.youtube.com/watch?v=0UsjUE-TXns,2.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/2.mp4,SUCCESS,,2025-05-07T09:38:02.795411
3,https://www.youtube.com/watch?v=1QOYOZ3g-aY,3.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/3.mp4,FAILED_DOWNLOAD,Download failed for https://www.youtube.com/watch?v=1QOYOZ3g-aY,2025-05-07T09:38:03.296545
4,https://www.youtube.com/watch?v=aGtIHKEdCds,4.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/4.mp4,SUCCESS,,2025-05-07T09:38:05.965128
5,https://www.youtube.com/watch?v=hjS0dQDgbjo,5.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/5.mp4,SUCCESS,,2025-05-07T09:38:12.216493
6,https://www.youtube.com/watch?v=WGfiiDgrq1I,6.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/6.mp4,SUCCESS,,2025-05-07T09:38:16.972180
7,http://www.aslpro.com/main/b/book_english_grammar.swf,7.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/7.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_english_grammar.swf,2025-05-07T09:38:17.826530
8,http://www.aslpro.com/main/b/book_geography.swf,8.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/8.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_geography.swf,2025-05-07T09:38:18.270351
9,http://www.aslpro.com/main/b/book_geometry.swf,9.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/9.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_geometry.swf,2025-05-07T09:38:18.677707
10,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,10.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/10.mp4,SUCCESS,,2025-05-07T09:38:23.107916
11,http://www.aslpro.com/main/b/book_history.swf,11.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/11.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_history.swf,2025-05-07T09:38:23.557241
12,http://www.aslpro.com/main/b/book_law.swf,12.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/12.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_law.swf,2025-05-07T09:38:24.002503
13,http://www.aslpro.com/main/b/book_literature.swf,13.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/13.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_literature.swf,2025-05-07T09:38:24.433993
14,http://www.aslpro.com/main/b/book_math.swf,14.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/14.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_math.swf,2025-05-07T09:38:24.866824
15,http://www.aslpro.com/main/b/book_medicine.swf,15.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/15.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_medicine.swf,2025-05-07T09:38:25.313711
16,http://www.aslpro.com/main/b/book_music.swf,16.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/16.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_music.swf,2025-05-07T09:38:25.750404
17,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,17.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/17.mp4,SUCCESS,,2025-05-07T09:38:28.967137
18,http://www.aslpro.com/main/b/book_photography.swf,18.mp4,/home/pandu/Documents/explore/sign-language-translator-ai/videos/18.mp4,FAILED_DOWNLOAD,Download failed for http://www.aslpro.com/main/b/book_photography.swf,2025-05-07T09:38:29.424425
