url,wlasl_gloss,wlasl_video_id,wlasl_split,msasl_text,msasl_label,msasl_split
https://www.youtube.com/watch?v=C37R_Ix8-qs,match,35123,val,match,830,train
https://www.youtube.com/watch?v=cJOyCgIKyeA,past,68380,val,past,510,train
https://www.youtube.com/watch?v=XCiFsGrb_Nk,shock,51112,test,shock,589,train
https://www.youtube.com/watch?v=Y5q-PccHNHo,think,57980,train,think,345,train
https://www.youtube.com/watch?v=pAoM56DCisM,clock,11204,train,clock,735,train
https://www.youtube.com/watch?v=NBqpHJiufXU,sick,51514,train,sick,63,train
https://www.youtube.com/watch?v=o1XWGA4KCNU,stand,68160,train,stand,493,train
https://www.youtube.com/watch?v=oQGNnu24SEE,business,08377,test,business,495,train
https://www.youtube.com/watch?v=Q0vD9t1u5bI,bake,04773,train,bake,460,train
https://www.youtube.com/watch?v=YirRi12-zWo,in,29724,train,in,659,train
https://www.youtube.com/watch?v=KhhowNO7Ywk,stand,54383,train,stand,493,train
https://www.youtube.com/watch?v=Uo_AUbP0O9g,enjoy,19267,val,enjoy,192,train
https://www.youtube.com/watch?v=TdhGSBisBXg,hit,27600,train,hit,921,train
https://www.youtube.com/watch?v=i14EM0ZbtUY,shirt,51072,train,shirt,149,train
https://www.youtube.com/watch?v=OwtSP1QozuE,same,49186,train,same,70,train
https://www.youtube.com/watch?v=MslyAd8WAwU,color,68027,train,color,146,train
https://www.youtube.com/watch?v=OZKNIcIFqvU,have,26777,train,have,111,train
https://www.youtube.com/watch?v=uLjkLwFvFtw,white,63211,val,white,13,train
https://www.youtube.com/watch?v=bul0cjvDEEE,hat,26724,train,hat,228,train
https://www.youtube.com/watch?v=JGXoDKup5Yg,fight,21707,test,fight,611,train
https://www.youtube.com/watch?v=YzuOEjefcIY,your,64439,test,your,101,train
https://www.youtube.com/watch?v=amS8WdpuoAM,lead,32543,val,lead,984,train
https://www.youtube.com/watch?v=VS3iTjU_UEM,therapy,57811,train,therapy,823,train
https://www.youtube.com/watch?v=1R0_ICwvHUE,hit,27597,train,hit,921,train
https://www.youtube.com/watch?v=7xQE2N0z7gM,finish,21952,val,finish,12,train
https://www.youtube.com/watch?v=2xdhyJEgXdI,bathroom,05304,train,bathroom,57,train
https://www.youtube.com/watch?v=1YYoXedYU3Q,hockey,27638,test,hockey,755,train
https://www.youtube.com/watch?v=k6cNmM9WgUs,drink,17730,test,drink,56,train
https://www.youtube.com/watch?v=pkzfT9cYvH0,no,38540,train,no,4,train
https://www.youtube.com/watch?v=OZy1ugYqyyc,law,32455,val,law,607,train
https://www.youtube.com/watch?v=YE4kHW20tCI,fall in love,20931,train,autumn in love,754,train
https://www.youtube.com/watch?v=kMVyOw_s_cg,intersection,30302,train,intersection,988,train
https://www.youtube.com/watch?v=Ij7epQE21TY,investigate,30477,train,research,893,train
https://www.youtube.com/watch?v=MeIk9lFGPTo,husband,28470,val,husband,200,train
https://www.youtube.com/watch?v=XjWSfh50kAU,book,07076,train,book,38,train
https://www.youtube.com/watch?v=_s96-SeiXfo,cheese,10272,train,cheese,127,train
https://www.youtube.com/watch?v=Bibgy-yjgYE,bird,06340,val,bird,14,train
https://www.youtube.com/watch?v=wXk1nupiUDg,hanukkah,26488,train,hanukkah,628,train
https://www.youtube.com/watch?v=sErq0TJMKEo,doctor,70049,train,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,enjoy,70051,train,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,cook,70030,test,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,full,70029,test,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,thursday,70026,test,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,tea,70034,train,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,coffee,70033,train,every morning,606,train
https://www.youtube.com/watch?v=sErq0TJMKEo,sunday,70022,test,every morning,606,train
